"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameFIFAESDComparatorLevenshtein record1Value","[0] PlayerNameFIFAESDComparatorLevenshtein record2Value","[0] PlayerNameFIFAESDComparatorLevenshtein record1PreprocessedValue","[0] PlayerNameFIFAESDComparatorLevenshtein record2PreprocessedValue","[0] PlayerNameFIFAESDComparatorLevenshtein similarity","[0] PlayerNameFIFAESDComparatorLevenshtein postproccesedSimilarity","[1] PlayerNameFIFAESDComparatorJaccard record1Value","[1] PlayerNameFIFAESDComparatorJaccard record2Value","[1] PlayerNameFIFAESDComparatorJaccard record1PreprocessedValue","[1] PlayerNameFIFAESDComparatorJaccard record2PreprocessedValue","[1] PlayerNameFIFAESDComparatorJaccard similarity","[1] PlayerNameFIFAESDComparatorJaccard postproccesedSimilarity","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance record1Value","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance record2Value","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance record1PreprocessedValue","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance record2PreprocessedValue","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance similarity","[2] PlayerNameFIFAESDComparatorLevenshteinEditDistance postproccesedSimilarity","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment record1Value","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment record2Value","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment record1PreprocessedValue","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment record2PreprocessedValue","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment similarity","[3] PlayerNameFIFAESDComparatorMaximumTokenContainment postproccesedSimilarity","[4] DateFIFAESDComparator2Year record1Value","[4] DateFIFAESDComparator2Year record2Value","[4] DateFIFAESDComparator2Year record1PreprocessedValue","[4] DateFIFAESDComparator2Year record2PreprocessedValue","[4] DateFIFAESDComparator2Year similarity","[4] DateFIFAESDComparator2Year postproccesedSimilarity","[5] HeightFIFAESDAbsoluteDifferences record1Value","[5] HeightFIFAESDAbsoluteDifferences record2Value","[5] HeightFIFAESDAbsoluteDifferences record1PreprocessedValue","[5] HeightFIFAESDAbsoluteDifferences record2PreprocessedValue","[5] HeightFIFAESDAbsoluteDifferences similarity","[5] HeightFIFAESDAbsoluteDifferences postproccesedSimilarity"
"WekaMatchingRule","10598","2003106","0.37",,"G. Kusunga","Gerard Pique","g kusunga","g pique","0.33333333333333337","0.33333333333333337","G. Kusunga","Gerard Pique","g kusunga","g pique","0.3333333333333333","0.3333333333333333","G. Kusunga","Gerard Pique","g kusunga","g pique","6.0","6.0","G. Kusunga","Gerard Pique","g kusunga","g pique","0.5","0.5","1989-01-01T00:00","1987-02-02T00:00","1989-01-01T00:00","1987-02-02T00:00","0.5","0.5","0.0","193.0399932861328","0.0","193.0399932861328","0.0","0.0"
"WekaMatchingRule","12","2008584","0.9067940033383189","1","T. Kroos","Toni Kroos","t kroos","t kroos","1.0","1.0","T. Kroos","Toni Kroos","t kroos","t kroos","1.0","1.0","T. Kroos","Toni Kroos","t kroos","t kroos","0.0","0.0","T. Kroos","Toni Kroos","t kroos","t kroos","1.0","1.0","1991-01-01T00:00","1990-01-04T00:00","1991-01-01T00:00","1990-01-04T00:00","0.75","0.75","0.0","182.8800048828125","0.0","182.8800048828125","0.0","0.0"
"WekaMatchingRule","4121","2004167","0.0",,"J. Rhodes","John Ruddy","j rhodes","j ruddy","0.5","0.5","J. Rhodes","John Ruddy","j rhodes","j ruddy","0.3333333333333333","0.3333333333333333","J. Rhodes","John Ruddy","j rhodes","j ruddy","4.0","4.0","J. Rhodes","John Ruddy","j rhodes","j ruddy","0.5","0.5","1991-01-01T00:00","1986-10-24T00:00","1991-01-01T00:00","1986-10-24T00:00","0.0","0.0","0.0","193.0399932861328","0.0","193.0399932861328","0.0","0.0"
"WekaMatchingRule","10856","2000473",,"0","Álvaro","Alvaro Anton","alvaro","alvaro anton","0.5","0.5","Álvaro","Alvaro Anton","alvaro","alvaro anton","0.5","0.5","Álvaro","Alvaro Anton","alvaro","alvaro anton","6.0","6.0","Álvaro","Alvaro Anton","alvaro","alvaro anton","1.0","1.0","1999-01-01T00:00","1983-12-28T00:00","1999-01-01T00:00","1983-12-28T00:00","0.0","0.0","0.0","177.8000030517578","0.0","177.8000030517578","0.0","0.0"
"WekaMatchingRule","1967","2004535","0.10333333333333333",,"J. Gondorf","Julio Sergio","j gondorf","j sergio","0.2222222222222222","0.2222222222222222","J. Gondorf","Julio Sergio","j gondorf","j sergio","0.3333333333333333","0.3333333333333333","J. Gondorf","Julio Sergio","j gondorf","j sergio","7.0","7.0","J. Gondorf","Julio Sergio","j gondorf","j sergio","0.5","0.5","1989-01-01T00:00","1978-11-08T00:00","1989-01-01T00:00","1978-11-08T00:00","0.0","0.0","0.0","187.9600067138672","0.0","187.9600067138672","0.0","0.0"
"WekaMatchingRule","5720","2000494","0.02",,"A. Vellios","Alves Justino Jorge Luiz,28","a vellios","a justino jorge luiz,28","0.21739130434782605","0.21739130434782605","A. Vellios","Alves Justino Jorge Luiz,28","a vellios","a justino jorge luiz,28","0.16666666666666666","0.16666666666666666","A. Vellios","Alves Justino Jorge Luiz,28","a vellios","a justino jorge luiz,28","18.0","18.0","A. Vellios","Alves Justino Jorge Luiz,28","a vellios","a justino jorge luiz,28","0.5","0.5","1993-01-01T00:00","1982-04-22T00:00","1993-01-01T00:00","1982-04-22T00:00","0.0","0.0","0.0","193.0399932861328","0.0","193.0399932861328","0.0","0.0"
"WekaMatchingRule","8823","2004209","0.0",,"João Gabriel","Jonathan Benteke","joao gabriel","jonathan benteke","0.3125","0.3125","João Gabriel","Jonathan Benteke","joao gabriel","jonathan benteke","0.0","0.0","João Gabriel","Jonathan Benteke","joao gabriel","jonathan benteke","11.0","11.0","João Gabriel","Jonathan Benteke","joao gabriel","jonathan benteke","0.0","0.0","1990-01-01T00:00","1995-04-28T00:00","1990-01-01T00:00","1995-04-28T00:00","0.0","0.0","0.0","187.9600067138672","0.0","187.9600067138672","0.0","0.0"
"WekaMatchingRule","716","2004481","0.12474860880433639",,"J. Farfán","Juanmi","j farfan","juanmi","0.25","0.25","J. Farfán","Juanmi","j farfan","juanmi","0.0","0.0","J. Farfán","Juanmi","j farfan","juanmi","6.0","6.0","J. Farfán","Juanmi","j farfan","juanmi","0.0","0.0","1986-01-01T00:00","1993-05-20T00:00","1986-01-01T00:00","1993-05-20T00:00","0.0","0.0","0.0","170.17999267578125","0.0","170.17999267578125","0.0","0.0"
"WekaMatchingRule","12121","2000900",,"0","Y. Tokunaga","Ayoze Diaz Diaz","y tokunaga","a diaz diaz","0.18181818181818177","0.18181818181818177","Y. Tokunaga","Ayoze Diaz Diaz","y tokunaga","a diaz diaz","0.0","0.0","Y. Tokunaga","Ayoze Diaz Diaz","y tokunaga","a diaz diaz","9.0","9.0","Y. Tokunaga","Ayoze Diaz Diaz","y tokunaga","a diaz diaz","0.0","0.0","1985-01-01T00:00","1982-05-25T00:00","1985-01-01T00:00","1982-05-25T00:00","0.25","0.25","0.0","175.25999450683594","0.0","175.25999450683594","0.0","0.0"
"WekaMatchingRule","1546","2002448","0.0642301583722292","0","E. Insúa","Emanuel Insua","e insua","e insua","1.0","1.0","E. Insúa","Emanuel Insua","e insua","e insua","1.0","1.0","E. Insúa","Emanuel Insua","e insua","e insua","0.0","0.0","E. Insúa","Emanuel Insua","e insua","e insua","1.0","1.0","1990-01-01T00:00","1991-04-10T00:00","1990-01-01T00:00","1991-04-10T00:00","0.0","0.0","0.0","180.33999633789062","0.0","180.33999633789062","0.0","0.0"
"WekaMatchingRule","11212","2001438","0.45933333333333337",,"C. Nielsen","Chris Turner","c nielsen","c turner","0.33333333333333337","0.33333333333333337","C. Nielsen","Chris Turner","c nielsen","c turner","0.3333333333333333","0.3333333333333333","C. Nielsen","Chris Turner","c nielsen","c turner","6.0","6.0","C. Nielsen","Chris Turner","c nielsen","c turner","0.5","0.5","1995-01-01T00:00","1987-01-03T00:00","1995-01-01T00:00","1987-01-03T00:00","0.0","0.0","0.0","180.33999633789062","0.0","180.33999633789062","0.0","0.0"
"WekaMatchingRule","11063","2006968","0.8937021581263721","1","P. Zieliński","Pawel Zielinski","p zielinski","p zielinski","1.0","1.0","P. Zieliński","Pawel Zielinski","p zielinski","p zielinski","1.0","1.0","P. Zieliński","Pawel Zielinski","p zielinski","p zielinski","0.0","0.0","P. Zieliński","Pawel Zielinski","p zielinski","p zielinski","1.0","1.0","1992-01-01T00:00","1990-07-17T00:00","1992-01-01T00:00","1990-07-17T00:00","0.5","0.5","0.0","177.8000030517578","0.0","177.8000030517578","0.0","0.0"
"WekaMatchingRule","7962","2006810","0.13416666666666666",,"P. Mandanda","Paolo Castellini","p mandanda","p castellini","0.25","0.25","P. Mandanda","Paolo Castellini","p mandanda","p castellini","0.3333333333333333","0.3333333333333333","P. Mandanda","Paolo Castellini","p mandanda","p castellini","9.0","9.0","P. Mandanda","Paolo Castellini","p mandanda","p castellini","0.5","0.5","1991-01-01T00:00","1979-03-25T00:00","1991-01-01T00:00","1979-03-25T00:00","0.0","0.0","0.0","182.8800048828125","0.0","182.8800048828125","0.0","0.0"
"WekaMatchingRule","10818","2003089",,"0","C. Long","George Long","c long","g long","0.8333333333333334","0.8333333333333334","C. Long","George Long","c long","g long","0.3333333333333333","0.3333333333333333","C. Long","George Long","c long","g long","1.0","1.0","C. Long","George Long","c long","g long","0.5","0.5","1996-01-01T00:00","1993-11-05T00:00","1996-01-01T00:00","1993-11-05T00:00","0.25","0.25","0.0","193.0399932861328","0.0","193.0399932861328","0.0","0.0"
"WekaMatchingRule","340","2000952",,"0","E. Hysaj","Bartlomiej Konieczny","e hysaj","b konieczny","0.09090909090909094","0.09090909090909094","E. Hysaj","Bartlomiej Konieczny","e hysaj","b konieczny","0.0","0.0","E. Hysaj","Bartlomiej Konieczny","e hysaj","b konieczny","10.0","10.0","E. Hysaj","Bartlomiej Konieczny","e hysaj","b konieczny","0.0","0.0","1995-01-01T00:00","1981-06-09T00:00","1995-01-01T00:00","1981-06-09T00:00","0.0","0.0","0.0","193.0399932861328","0.0","193.0399932861328","0.0","0.0"
"WekaMatchingRule","2544","2001367",,"0","H. Lindner","Cesare Natali","h lindner","c natali","0.11111111111111116","0.11111111111111116","H. Lindner","Cesare Natali","h lindner","c natali","0.0","0.0","H. Lindner","Cesare Natali","h lindner","c natali","8.0","8.0","H. Lindner","Cesare Natali","h lindner","c natali","0.0","0.0","1992-01-01T00:00","1979-04-05T00:00","1992-01-01T00:00","1979-04-05T00:00","0.0","0.0","0.0","193.0399932861328","0.0","193.0399932861328","0.0","0.0"
"WekaMatchingRule","8693","2000960","0.03",,"B. San Juan","Bartosz Kopacz","b san juan","b kopacz","0.19999999999999996","0.19999999999999996","B. San Juan","Bartosz Kopacz","b san juan","b kopacz","0.25","0.25","B. San Juan","Bartosz Kopacz","b san juan","b kopacz","8.0","8.0","B. San Juan","Bartosz Kopacz","b san juan","b kopacz","0.5","0.5","1995-01-01T00:00","1992-05-12T00:00","1995-01-01T00:00","1992-05-12T00:00","0.25","0.25","0.0","187.9600067138672","0.0","187.9600067138672","0.0","0.0"
"WekaMatchingRule","6646","2006333",,"1","M. Pedersen","Morten Gamst Pedersen","m pedersen","m gamst pedersen","0.625","0.625","M. Pedersen","Morten Gamst Pedersen","m pedersen","m gamst pedersen","0.6666666666666666","0.6666666666666666","M. Pedersen","Morten Gamst Pedersen","m pedersen","m gamst pedersen","6.0","6.0","M. Pedersen","Morten Gamst Pedersen","m pedersen","m gamst pedersen","1.0","1.0","1983-01-01T00:00","1981-09-08T00:00","1983-01-01T00:00","1981-09-08T00:00","0.5","0.5","0.0","182.8800048828125","0.0","182.8800048828125","0.0","0.0"
"WekaMatchingRule","10832","2005884",,"0","L. Di Matteo","Matteo Ciofani","l di matteo","m ciofani","0.2727272727272727","0.2727272727272727","L. Di Matteo","Matteo Ciofani","l di matteo","m ciofani","0.0","0.0","L. Di Matteo","Matteo Ciofani","l di matteo","m ciofani","8.0","8.0","L. Di Matteo","Matteo Ciofani","l di matteo","m ciofani","0.0","0.0","1989-01-01T00:00","1988-02-26T00:00","1989-01-01T00:00","1988-02-26T00:00","0.75","0.75","0.0","182.8800048828125","0.0","182.8800048828125","0.0","0.0"
"WekaMatchingRule","16649","2000604","0.06",,"A. Rizzo","Andrea Pisanu","a rizzo","a pisanu","0.375","0.375","A. Rizzo","Andrea Pisanu","a rizzo","a pisanu","0.3333333333333333","0.3333333333333333","A. Rizzo","Andrea Pisanu","a rizzo","a pisanu","5.0","5.0","A. Rizzo","Andrea Pisanu","a rizzo","a pisanu","0.5","0.5","2000-01-01T00:00","1982-01-07T00:00","2000-01-01T00:00","1982-01-07T00:00","0.0","0.0","0.0","180.33999633789062","0.0","180.33999633789062","0.0","0.0"
"WekaMatchingRule","2556","2004377","0.6",,"J. Fuenzalida","Jose Recio","j fuenzalida","j recio","0.33333333333333337","0.33333333333333337","J. Fuenzalida","Jose Recio","j fuenzalida","j recio","0.3333333333333333","0.3333333333333333","J. Fuenzalida","Jose Recio","j fuenzalida","j recio","8.0","8.0","J. Fuenzalida","Jose Recio","j fuenzalida","j recio","0.5","0.5","1986-01-01T00:00","1991-01-11T00:00","1986-01-01T00:00","1991-01-11T00:00","0.0","0.0","0.0","182.8800048828125","0.0","182.8800048828125","0.0","0.0"
"WekaMatchingRule","14073","2007273","0.21",,"R. de la Rosa","Remi Mulumba","r de la rosa","r mulumba","0.33333333333333337","0.33333333333333337","R. de la Rosa","Remi Mulumba","r de la rosa","r mulumba","0.2","0.2","R. de la Rosa","Remi Mulumba","r de la rosa","r mulumba","8.0","8.0","R. de la Rosa","Remi Mulumba","r de la rosa","r mulumba","0.5","0.5","2001-01-01T00:00","1992-11-02T00:00","2001-01-01T00:00","1992-11-02T00:00","0.0","0.0","0.0","177.8000030517578","0.0","177.8000030517578","0.0","0.0"
"WekaMatchingRule","8246","2007110","0.1853333333333333",,"P. Izzo","Plamen Krachunov","p izzo","p krachunov","0.2727272727272727","0.2727272727272727","P. Izzo","Plamen Krachunov","p izzo","p krachunov","0.3333333333333333","0.3333333333333333","P. Izzo","Plamen Krachunov","p izzo","p krachunov","8.0","8.0","P. Izzo","Plamen Krachunov","p izzo","p krachunov","0.5","0.5","1996-01-01T00:00","1989-01-11T00:00","1996-01-01T00:00","1989-01-11T00:00","0.0","0.0","0.0","187.9600067138672","0.0","187.9600067138672","0.0","0.0"
"WekaMatchingRule","18190","2000076","0.10333333333333333",,"A. Kaltner","Adam Buksa","a kaltner","a buksa","0.2222222222222222","0.2222222222222222","A. Kaltner","Adam Buksa","a kaltner","a buksa","0.3333333333333333","0.3333333333333333","A. Kaltner","Adam Buksa","a kaltner","a buksa","7.0","7.0","A. Kaltner","Adam Buksa","a kaltner","a buksa","0.5","0.5","2001-01-01T00:00","1996-07-12T00:00","2001-01-01T00:00","1996-07-12T00:00","0.0","0.0","0.0","190.5","0.0","190.5","0.0","0.0"
"WekaMatchingRule","6369","2006303","0.45933333333333337",,"M. Normann","Mohamed Larbi","m normann","m larbi","0.33333333333333337","0.33333333333333337","M. Normann","Mohamed Larbi","m normann","m larbi","0.3333333333333333","0.3333333333333333","M. Normann","Mohamed Larbi","m normann","m larbi","6.0","6.0","M. Normann","Mohamed Larbi","m normann","m larbi","0.5","0.5","1997-01-01T00:00","1987-09-02T00:00","1997-01-01T00:00","1987-09-02T00:00","0.0","0.0","0.0","182.8800048828125","0.0","182.8800048828125","0.0","0.0"
"WekaMatchingRule","2218","2003273",,"0","Suk Hyun Jun","Gregory Mertens","suk hyun jun","gregory mertens","0.1333333333333333","0.1333333333333333","Suk Hyun Jun","Gregory Mertens","suk hyun jun","gregory mertens","0.0","0.0","Suk Hyun Jun","Gregory Mertens","suk hyun jun","gregory mertens","13.0","13.0","Suk Hyun Jun","Gregory Mertens","suk hyun jun","gregory mertens","0.0","0.0","1992-01-01T00:00","1991-02-02T00:00","1992-01-01T00:00","1991-02-02T00:00","0.75","0.75","0.0","190.5","0.0","190.5","0.0","0.0"
"WekaMatchingRule","12782","2003932","0.0","0","J. Green","Jem Karacan","j green","j karacan","0.4444444444444444","0.4444444444444444","J. Green","Jem Karacan","j green","j karacan","0.3333333333333333","0.3333333333333333","J. Green","Jem Karacan","j green","j karacan","5.0","5.0","J. Green","Jem Karacan","j green","j karacan","0.5","0.5","1996-01-01T00:00","1989-02-21T00:00","1996-01-01T00:00","1989-02-21T00:00","0.0","0.0","0.0","175.25999450683594","0.0","175.25999450683594","0.0","0.0"
"WekaMatchingRule","494","2005334",,"0","Maicon","Maicon","maicon","maicon","1.0","1.0","Maicon","Maicon","maicon","maicon","1.0","1.0","Maicon","Maicon","maicon","maicon","0.0","0.0","Maicon","Maicon","maicon","maicon","1.0","1.0","1990-01-01T00:00","1981-07-26T00:00","1990-01-01T00:00","1981-07-26T00:00","0.0","0.0","0.0","182.8800048828125","0.0","182.8800048828125","0.0","0.0"
"WekaMatchingRule","10920","2006895",,"0","S. Lawson","Paul Lawson","s lawson","p lawson","0.875","0.875","S. Lawson","Paul Lawson","s lawson","p lawson","0.3333333333333333","0.3333333333333333","S. Lawson","Paul Lawson","s lawson","p lawson","1.0","1.0","S. Lawson","Paul Lawson","s lawson","p lawson","0.5","0.5","1996-01-01T00:00","1984-05-15T00:00","1996-01-01T00:00","1984-05-15T00:00","0.0","0.0","0.0","170.17999267578125","0.0","170.17999267578125","0.0","0.0"
